gender,SeniorCitizen,Partner,Dependents,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,TotalCharges,Churn,HasInternetService
0,-0.43991649313097614,1,0,0,1,0,0,0,0,0,0,0,0,1,0,-0.9934480627412883,0,1
1,-0.43991649313097614,0,0,1,0,0,0,0,0,0,0,0,1,0,0,-0.15158796287645643,0,1
1,-0.43991649313097614,0,0,1,0,0,0,0,0,0,0,0,0,1,0,-0.959070655112199,1,1
1,-0.43991649313097614,0,0,0,1,0,0,0,0,0,0,0,1,0,0,-0.1660719573560215,0,1
0,-0.43991649313097614,0,0,1,0,1,0,0,0,0,0,0,0,1,0,-0.9441892339548411,1,1
0,-0.43991649313097614,0,0,1,0,1,0,0,0,0,0,0,0,1,0,-0.654597661403053,1,1
1,-0.43991649313097614,0,1,1,0,1,0,0,0,0,0,0,0,1,1,-0.14103407665506634,0,1
0,-0.43991649313097614,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.8752577846176436,0,1
0,-0.43991649313097614,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0.28915822279591286,1,1
1,-0.43991649313097614,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0.5306611673347553,0,1
1,-0.43991649313097614,1,1,1,0,0,0,0,0,0,0,0,0,1,0,-0.7198860328604819,0,1
1,-0.43991649313097614,0,0,1,0,0,1,1,1,1,1,1,0,0,1,-0.8727407489916217,0,0
1,-0.43991649313097614,1,0,1,0,1,0,0,0,0,0,0,1,0,1,1.5635289443988487,0,1
1,-0.43991649313097614,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1.2371974834110915,1,1
1,-0.43991649313097614,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0.15805157764399771,0,1
0,-0.43991649313097614,1,1,1,0,1,0,0,0,0,0,0,0,0,1,2.444027749049105,0,1
0,-0.43991649313097614,0,0,1,0,0,1,1,1,1,1,1,1,0,0,-0.5324551957613564,0,0
1,-0.43991649313097614,0,1,1,0,1,0,0,0,0,0,0,0,0,0,2.338687600174099,0,1
0,-0.43991649313097614,1,1,1,0,0,0,0,0,0,0,0,0,0,1,-0.7628743518417515,1,1
0,-0.43991649313097614,0,0,1,0,1,0,0,0,0,0,0,0,1,0,-0.17156969306549041,0,1
1,2.273158691738958,0,0,0,1,0,0,0,0,0,0,0,0,1,0,-0.9891205278053206,1,1
1,-0.43991649313097614,1,0,1,0,0,1,1,1,1,1,1,1,0,0,-0.9017087379507515,0,0
1,-0.43991649313097614,0,0,1,0,0,1,1,1,1,1,1,0,0,0,-0.997731439157501,1,0
0,-0.43991649313097614,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0.5275259124321666,0,1
1,-0.43991649313097614,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0.2829760300302449,0,1
0,-0.43991649313097614,0,0,1,0,0,0,0,0,0,0,0,0,1,0,-0.2740395381564365,0,1
1,-0.43991649313097614,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1.055330619801067,1,1
1,-0.43991649313097614,1,1,0,1,0,0,0,0,0,0,0,0,0,0,-0.9932935079221465,1,1
1,-0.43991649313097614,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1.862791232776932,0,1
0,-0.43991649313097614,0,1,1,0,0,0,0,0,0,0,0,0,1,0,-0.5209298221053611,1,1
0,2.273158691738958,1,0,1,0,1,0,0,0,0,0,0,0,1,1,2.014188717756164,0,1
1,2.273158691738958,1,0,1,0,1,0,0,0,0,0,0,0,1,1,-0.9222866081564748,0,1
0,-0.43991649313097614,1,1,1,0,0,0,0,0,0,0,0,1,0,0,-0.21793613880799986,0,1
1,-0.43991649313097614,0,0,1,0,0,1,1,1,1,1,1,0,0,0,-0.9977093598976237,0,0
